,_id.$oid,bonusPointsEarned,bonusPointsEarnedReason,createDate.$date,dateScanned.$date,finishedDate.$date,modifyDate.$date,pointsAwardedDate.$date,pointsEarned,purchaseDate.$date,purchasedItemCount,rewardsReceiptItemList.barcode,rewardsReceiptItemList.description,rewardsReceiptItemList.finalPrice,rewardsReceiptItemList.itemPrice,rewardsReceiptItemList.needsFetchReview,rewardsReceiptItemList.partnerItemId,rewardsReceiptItemList.preventTargetGapPoints,rewardsReceiptItemList.quantityPurchased,rewardsReceiptItemList.userFlaggedBarcode,rewardsReceiptItemList.userFlaggedNewItem,rewardsReceiptItemList.userFlaggedPrice,rewardsReceiptItemList.userFlaggedQuantity,rewardsReceiptItemList.needsFetchReviewReason,rewardsReceiptItemList.pointsNotAwardedReason,rewardsReceiptItemList.pointsPayerId,rewardsReceiptItemList.rewardsGroup,rewardsReceiptItemList.rewardsProductPartnerId,rewardsReceiptItemList.userFlaggedDescription,rewardsReceiptItemList.originalMetaBriteBarcode,rewardsReceiptItemList.originalMetaBriteDescription,rewardsReceiptItemList.brandCode,rewardsReceiptItemList.competitorRewardsGroup,rewardsReceiptItemList.discountedItemPrice,rewardsReceiptItemList.originalReceiptItemText,rewardsReceiptItemList.itemNumber,rewardsReceiptItemList.originalMetaBriteQuantityPurchased,rewardsReceiptItemList.pointsEarned,rewardsReceiptItemList.targetPrice,rewardsReceiptItemList.competitiveProduct,rewardsReceiptItemList.originalFinalPrice,rewardsReceiptItemList.originalMetaBriteItemPrice,rewardsReceiptItemList.deleted,rewardsReceiptItemList.priceAfterCoupon,rewardsReceiptItemList.metabriteCampaignId,rewardsReceiptStatus,totalSpent,userId,BrandKey
0,5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,500,1.60963E+12,5,4011,ITEM NOT FOUND,26,26,FALSE,1,TRUE,5,4011,TRUE,26,5,,,,,,,,,,,,,,,,,,,,,,,FINISHED,26,5ff1e1eacfcf6c399c274ae6,4011ITEM NOT FOUND
1,5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,150,1.6096E+12,2,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,FINISHED,11,5ff1e194b6a9d73a3a9f1052,4011ITEM NOT FOUND
2,5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,,1.60969E+12,,5,1.60963E+12,1,,,,,FALSE,1,TRUE,,4011,TRUE,26,3,,,,,,,,,,,,,,,,,,,,,,,REJECTED,10,5ff1e1f1cfcf6c399c274b0b,
3,5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60963E+12,4,4011,ITEM NOT FOUND,28,28,FALSE,1,TRUE,4,4011,TRUE,28,4,,,,,,,,,,,,,,,,,,,,,,,FINISHED,28,5ff1e1eacfcf6c399c274ae6,4011ITEM NOT FOUND
4,5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.6096E+12,2,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,FINISHED,1,5ff1e194b6a9d73a3a9f1052,4011ITEM NOT FOUND
5,5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,750,1.6096E+12,1,4011,ITEM NOT FOUND,3.25,3.25,FALSE,1,TRUE,1,4011,,,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,,,,,,,,,,,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,4011ITEM NOT FOUND
6,5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60969E+12,1,,MSSN TORTLLA,2.23,2.23,,1009,,1,,,,,,,,,,,,,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,,,,,,,,,,,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,MSSN TORTLLA
7,5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,500,1.60903E+12,1,46000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10,10,,0,,1,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,,,,BRAND,,,,,,,,,,,,,,FINISHED,10,5ff1e194b6a9d73a3a9f1052,"046000832517Old El Paso Mild Chopped Green Chiles, 4.5 Oz"
8,5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60963E+12,5,4011,ITEM NOT FOUND,20,20,FALSE,1,TRUE,5,4011,TRUE,20,5,,,,,,,,,,,,,,,,,,,,,,,FINISHED,20,5ff1e1eacfcf6c399c274ae6,4011ITEM NOT FOUND
9,5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,250,1.60963E+12,3,4011,ITEM NOT FOUND,20,20,FALSE,1,TRUE,3,4011,TRUE,20,3,,,,,,,,,,,,,,,,,,,,,,,FINISHED,20,5ff1e1eacfcf6c399c274ae6,4011ITEM NOT FOUND
